series no,arithmetical question,code for solving the question,answer to the question
1,Calculate the value of (4408237944462001 // 6541744901),"def solve():
    return 4408237944462001 // 6541744901

print(solve())",673862
2,Calculate the value of (276935827296260017158 OR 8585191569),"def solve():
    return 276935827296260017158 | 8585191569

print(solve())",276935827303964339351
3,Calculate the value of (3085602681745 AND 81603131110598372888964),"def solve():
    return 3085602681745 & 81603131110598372888964

print(solve())",43624960384
4,Calculate the value of (6492150 - 830353 OR 36871813401 - 779480916042),"def solve():
    return 6492150 - 830353 | 36871813401 - 779480916042

print(solve())",-742603719441
5,Calculate the value of (120777238616 * 33863879 - 316700646247373 OR 90672230584726),"def solve():
    return 120777238616 * 33863879 - 316700646247373 | 90672230584726

print(solve())",4089689022549021087
6,Calculate the value of (7551674519680407020693537624 + 585735023032157664078262),"def solve():
    return 7551674519680407020693537624 + 585735023032157664078262

print(solve())",7552260254703439178357615886
7,Calculate the value of (57.7030 * e),"import math

def solve():
    return 57.70300299162965 * math.e

print(solve())",156.8530244796648
8,Calculate the value of (51.3499 + pi),"import math

def solve():
    return 51.34989607602689 + math.pi

print(solve())",54.49148872961668
9,Calculate the value of (92.3849 / pi),"import math

def solve():
    return 92.3849117328918 / math.pi

print(solve())",29.407030738796337
10,Calculate the value of (2511755267911261525699 // 5707070999765150246231),"def solve():
    return 2511755267911261525699 // 5707070999765150246231

print(solve())",0
11,Calculate the value of (64894573636746 * 437933950 + 69333761 // 625298958224542),"def solve():
    return 64894573636746 * 437933950 + 69333761 // 625298958224542

print(solve())",28419536966306040926700
12,Calculate the value of (979845764368716949412311956092 * 2050848410452315),"def solve():
    return 979845764368716949412311956092 * 2050848410452315

print(solve())",2009515128344016746352726616548697896139752980
13,Calculate the value of (115004776096 // 234217396397753575505),"def solve():
    return 115004776096 // 234217396397753575505

print(solve())",0
14,Calculate the value of (39606170915350910037 XOR 8948533652743727950214539),"def solve():
    return 39606170915350910037 ^ 8948533652743727950214539

print(solve())",8948568484390864736231902
15,Calculate the value of (9790000 OR 5235505425 + 7706768798088),"def solve():
    return 9790000 | 5235505425 + 7706768798088

print(solve())",7712013806265
16,Calculate the value of (175359697167529 - 3108231849 + 9550441741557),"def solve():
    return 175359697167529 - 3108231849 + 9550441741557

print(solve())",184907030677237
17,Calculate the value of (94710 * 77779 XOR 5962013685303),"def solve():
    return 94710 * 77779 ^ 5962013685303

print(solve())",5968203489781
18,Calculate the value of (7511856812985694373 + 98866071452),"def solve():
    return 7511856812985694373 + 98866071452

print(solve())",7511856911851765825
19,Calculate the value of (68416244 << 1),"def solve():
    return 68416244 << 1

print(solve())",136832488
20,Calculate the value of (549522671498021 OR 4302183538269 - 450070 XOR 24874891),"def solve():
    return 549522671498021 | 4302183538269 - 450070 ^ 24874891

print(solve())",549660249030637
21,Calculate the value of (957389355091146381293408 AND 727827821995786475),"def solve():
    return 957389355091146381293408 & 727827821995786475

print(solve())",725573221835079776
22,Calculate the value of (4347812004605 XOR 200091621759264 * 9783433 OR 56248077),"def solve():
    return 4347812004605 ^ 200091621759264 * 9783433 | 56248077

print(solve())",1957582979001164232669
23,Calculate the value of (71920072437870726575551047430 + 7868743614),"def solve():
    return 71920072437870726575551047430 + 7868743614

print(solve())",71920072437870726583419791044
24,Calculate the value of (76667 << 10),"def solve():
    return 76667 << 10

print(solve())",78507008
25,Calculate the value of (37310429230183 // 36932707186419 OR 27653484400171),"def solve():
    return 37310429230183 // 36932707186419 | 27653484400171

print(solve())",27653484400171
26,Calculate the value of (20 ** 8),"def solve():
    return 20 ** 8

print(solve())",25600000000
27,Calculate the value of (2074900976678538480281926169 OR 93786830110477),"def solve():
    return 2074900976678538480281926169 | 93786830110477

print(solve())",2074900976678539632181477149
28,Calculate the value of (7075085046041174793 // 38634388461247063578221107242),"def solve():
    return 7075085046041174793 // 38634388461247063578221107242

print(solve())",0
29,Calculate the value of (388070840012906618962088986 XOR 678354923225860077150230),"def solve():
    return 388070840012906618962088986 ^ 678354923225860077150230

print(solve())",388738564995180482413917196
30,Calculate the value of (111427817379415287865741 OR 998979283065925),"def solve():
    return 111427817379415287865741 | 998979283065925

print(solve())",111427817533350761938381
31,Calculate the value of (923787859337 * 53024935 AND 531497425 AND 558178),"def solve():
    return 923787859337 * 53024935 & 531497425 & 558178

print(solve())",64
32,Calculate the value of (314426968905 OR 4968642232959 // 257412193047 XOR 5299724080621),"def solve():
    return 314426968905 | 4968642232959 // 257412193047 ^ 5299724080621

print(solve())",5334172164095
33,Calculate the value of (405671212368843511789068084805 + 18396811112054296836099970),"def solve():
    return 405671212368843511789068084805 + 18396811112054296836099970

print(solve())",405689609179955566085904184775
34,Calculate the value of (14356240771936916097398243 AND 94239944351909369144979845593),"def solve():
    return 14356240771936916097398243 & 94239944351909369144979845593

print(solve())",1662347942444162857857473
35,Calculate the value of (1394336470016 >> 4),"def solve():
    return 1394336470016 >> 4

print(solve())",87146029376
36,Calculate the value of (25726 << 1),"def solve():
    return 25726 << 1

print(solve())",51452
37,Calculate the value of (808512 * 343127372 * 4257203439387),"def solve():
    return 808512 * 343127372 * 4257203439387

print(solve())",1181044437477239687550605568
38,Calculate the value of (4.9722 / e),"import math

def solve():
    return 4.9721783721506885 / math.e

print(solve())",1.8291622009515272
39,Calculate the value of (9125364100230214594 + 397619367919238338514),"def solve():
    return 9125364100230214594 + 397619367919238338514

print(solve())",406744732019468553108
40,Calculate the value of (9 ** 2),"def solve():
    return 9 ** 2

print(solve())",81
41,Calculate the value of (10.0623 - e),"import math

def solve():
    return 10.062251388838506 - math.e

print(solve())",7.3439695603794615
42,Calculate the value of (398310409 OR 365540820 - 917493634739 AND 585600395170995),"def solve():
    return 398310409 | 365540820 - 917493634739 & 585600395170995

print(solve())",584975480912937
43,Calculate the value of (203906328392969 >> 7),"def solve():
    return 203906328392969 >> 7

print(solve())",1593018190570
44,Calculate the value of (684655989 + 812991723609 XOR 5081902),"def solve():
    return 684655989 + 812991723609 ^ 5081902

print(solve())",813672543968
45,Calculate the value of (83 ** 9),"def solve():
    return 83 ** 9

print(solve())",186940255267540403
46,Calculate the value of (54365367714290607451021901329 XOR 737764366466920274973790007),"def solve():
    return 54365367714290607451021901329 ^ 737764366466920274973790007

print(solve())",53787195953879246495814807846
47,Calculate the value of (6536758878810853676078 // 871222888215464777774203518925),"def solve():
    return 6536758878810853676078 // 871222888215464777774203518925

print(solve())",0
48,Calculate the value of (4645217624612688346 XOR 570276684900181762),"def solve():
    return 4645217624612688346 ^ 570276684900181762

print(solve())",5160323967894288088
49,Calculate the value of (72413592920 XOR 76872 * 9898337853 * 30738644257947),"def solve():
    return 72413592920 ^ 76872 * 9898337853 * 30738644257947

print(solve())",23389188952432950055755143776
50,Calculate the value of (66.3730 / pi),"import math

def solve():
    return 66.37304548742526 / math.pi

print(solve())",21.127196554773896
51,Calculate the value of (2097194740 << 7),"def solve():
    return 2097194740 << 7

print(solve())",268440926720
52,Calculate the value of (39 ** 7),"def solve():
    return 39 ** 7

print(solve())",137231006679
53,Calculate the value of (86.5047 + pi),"import math

def solve():
    return 86.50474125383538 + math.pi

print(solve())",89.64633390742517
54,Calculate the value of (199416679631367382651377829 + 646888215889866),"def solve():
    return 199416679631367382651377829 + 646888215889866

print(solve())",199416679632014270867267695
55,Calculate the value of (1366454124388 XOR 54447415265036897988488243211),"def solve():
    return 1366454124388 ^ 54447415265036897988488243211

print(solve())",54447415265036899302228334447
56,Calculate the value of (8623361273827421222188 OR 1856152657809220785387997),"def solve():
    return 8623361273827421222188 | 1856152657809220785387997

print(solve())",1860012712339689302130173
57,Calculate the value of (288490347 << 8),"def solve():
    return 288490347 << 8

print(solve())",73853528832
58,Calculate the value of (24029636716117946810458 XOR 11921129651791789737736750379),"def solve():
    return 24029636716117946810458 ^ 11921129651791789737736750379

print(solve())",11921106310188597567989024113
59,Calculate the value of (60251182720 >> 2),"def solve():
    return 60251182720 >> 2

print(solve())",15062795680
60,Calculate the value of (351692343117 OR 81173511801758740021609288908),"def solve():
    return 351692343117 | 81173511801758740021609288908

print(solve())",81173511801758740025909958605
61,Calculate the value of (51762724163077785912 XOR 782748091775072106491016544061),"def solve():
    return 51762724163077785912 ^ 782748091775072106491016544061

print(solve())",782748091808099856203141723653
62,Calculate the value of (97.2675 - pi),"import math

def solve():
    return 97.26752592447689 - math.pi

print(solve())",94.12593327088709
63,Calculate the value of (50379463011331 >> 11),"def solve():
    return 50379463011331 >> 11

print(solve())",24599347173
64,Calculate the value of (92664 >> 15),"def solve():
    return 92664 >> 15

print(solve())",2
65,Calculate the value of (52.5540 / e),"import math

def solve():
    return 52.55395321780422 / math.e

print(solve())",19.33351894111594
66,Calculate the value of (72051157 >> 16),"def solve():
    return 72051157 >> 16

print(solve())",1099
67,Calculate the value of (91796651720766153946658 AND 295793016167620868),"def solve():
    return 91796651720766153946658 & 295793016167620868

print(solve())",292764796818841600
68,Calculate the value of (79822291918 + 652936837 AND 13709132),"def solve():
    return 79822291918 + 652936837 & 13709132

print(solve())",9439808
69,Calculate the value of (45.3293 / e),"import math

def solve():
    return 45.32934382212495 / math.e

print(solve())",16.6757336739515
70,Calculate the value of (38.5566 * pi),"import math

def solve():
    return 38.556629687588476 * math.pi

print(solve())",121.12922457371008
71,Calculate the value of (394339 AND 799243472 // 476403087 XOR 779575403),"def solve():
    return 394339 & 799243472 // 476403087 ^ 779575403

print(solve())",779575402
72,Calculate the value of (79200196237921 // 12894996221500),"def solve():
    return 79200196237921 // 12894996221500

print(solve())",6
73,Calculate the value of (94409114238497 XOR 86408518807 - 487584387522 * 225568),"def solve():
    return 94409114238497 ^ 86408518807 - 487584387522 * 225568

print(solve())",-110030982779421578
74,Calculate the value of (29 ** 4),"def solve():
    return 29 ** 4

print(solve())",707281
75,Calculate the value of (2859227770456907135597 XOR 32084671350),"def solve():
    return 2859227770456907135597 ^ 32084671350

print(solve())",2859227770454631907611
76,Calculate the value of (313305941045004540761400783 OR 642127113830828468907),"def solve():
    return 313305941045004540761400783 | 642127113830828468907

print(solve())",313306582577637720785022959
77,Calculate the value of (84 ** 2),"def solve():
    return 84 ** 2

print(solve())",7056
78,Calculate the value of (8402171957705 OR 974076843710831300343906),"def solve():
    return 8402171957705 | 974076843710831300343906

print(solve())",974076843716347116386795
79,Calculate the value of (24594240945188 // 4506811784246),"def solve():
    return 24594240945188 // 4506811784246

print(solve())",5
80,Calculate the value of (42 ** 10),"def solve():
    return 42 ** 10

print(solve())",17080198121677824
81,Calculate the value of (662778476885115160 OR 17600674410179389),"def solve():
    return 662778476885115160 | 17600674410179389

print(solve())",666163014193883965
82,Calculate the value of (52.0547 - pi),"import math

def solve():
    return 52.05474081574894 - math.pi

print(solve())",48.913148162159146
83,Calculate the value of (535942805499061117 XOR 801199380676230041203326),"def solve():
    return 535942805499061117 ^ 801199380676230041203326

print(solve())",801199565311873335480579
84,Calculate the value of (216320456512 XOR 9598566933 * 1725551),"def solve():
    return 216320456512 ^ 9598566933 * 1725551

print(solve())",16563013494471771
85,Calculate the value of (724328430558086440419302851 + 19040847818802253),"def solve():
    return 724328430558086440419302851 + 19040847818802253

print(solve())",724328430577127288238105104
86,Calculate the value of (6.7273 / e),"import math

def solve():
    return 6.727345452015132 / math.e

print(solve())",2.474852085454571
87,Calculate the value of (27699103467 XOR 97641920 + 6637212144 AND 97706686148),"def solve():
    return 27699103467 ^ 97641920 + 6637212144 & 97706686148

print(solve())",29590515819
88,Calculate the value of (12.8775 + pi),"import math

def solve():
    return 12.877529036050865 + math.pi

print(solve())",16.019121689640656
89,Calculate the value of (792691096406546 OR 5271803582307 - 87283550),"def solve():
    return 792691096406546 | 5271803582307 - 87283550

print(solve())",797128481294871
90,Calculate the value of (45892 AND 64408520035 + 77695914550),"def solve():
    return 45892 & 64408520035 + 77695914550

print(solve())",37632
91,Calculate the value of (28 ** 7),"def solve():
    return 28 ** 7

print(solve())",13492928512
92,Calculate the value of (69740373424197 AND 467395369635865951),"def solve():
    return 69740373424197 & 467395369635865951

print(solve())",5551246155845
93,Calculate the value of (63824503365681106634136 - 30335107550552512882521),"def solve():
    return 63824503365681106634136 - 30335107550552512882521

print(solve())",33489395815128593751615
94,Calculate the value of (66 ** 8),"def solve():
    return 66 ** 8

print(solve())",360040606269696
95,Calculate the value of (7431262989785244 XOR 339148515572052959080879),"def solve():
    return 7431262989785244 ^ 339148515572052959080879

print(solve())",339148521660524348549427
96,Calculate the value of (525565031175 >> 8),"def solve():
    return 525565031175 >> 8

print(solve())",2052988403
97,Calculate the value of (544578080693309648534471 XOR 24352655852376263550906053),"def solve():
    return 544578080693309648534471 ^ 24352655852376263550906053

print(solve())",24592641002014136230008066
98,Calculate the value of (579948403506956 * 2940302938537),"def solve():
    return 579948403506956 * 2940302938537

print(solve())",1705223995031344522919963372
99,Calculate the value of (3373097899 >> 9),"def solve():
    return 3373097899 >> 9

print(solve())",6588081
100,Calculate the value of (140327 * 2804303148 OR 6771572),"def solve():
    return 140327 * 2804303148 | 6771572

print(solve())",393519447931892
