Step,Training Loss,reward,reward_std,completion_length,kl,rewards / match_format_exactly,rewards / match_format_approximately,rewards / check_answer,rewards / check_numbers
1,0.006200,-7.500000,0.000000,1846.000000,0.155724,0.000000,-3.000000,-2.000000,-2.500000
2,0.005200,-5.500000,4.000000,1754.000000,0.130613,0.750000,-1.875000,-2.125000,-2.250000
3,0.006300,-5.500000,4.000000,1826.000000,0.156329,0.750000,-1.875000,-2.125000,-2.250000
4,0.007100,-7.500000,0.000000,1846.000000,0.176596,0.000000,-3.000000,-2.000000,-2.500000
5,0.007500,13.000000,0.000000,1297.500000,0.188479,3.000000,1.500000,5.000000,3.500000
6,0.004800,-7.500000,0.000000,1846.000000,0.119617,0.000000,-3.000000,-2.000000,-2.500000
7,0.006200,-5.500000,4.000000,1679.000000,0.154963,0.750000,-1.875000,-2.125000,-2.250000
8,0.004200,-7.500000,0.000000,1846.000000,0.105323,0.000000,-3.000000,-2.000000,-2.500000
9,0.006100,-7.500000,0.000000,1846.000000,0.152696,0.000000,-3.000000,-2.000000,-2.500000
10,0.004900,-0.875000,9.672771,1784.750000,0.123577,1.500000,-0.750000,-0.875000,-0.750000
11,0.006300,11.000000,4.000000,1222.000000,0.157895,3.000000,1.500000,4.250000,2.250000
12,0.006200,-5.500000,4.000000,1797.500000,0.153804,0.750000,-1.875000,-2.125000,-2.250000
13,0.008500,6.750000,7.216878,1503.250000,0.212452,3.000000,1.500000,1.250000,1.000000
14,0.130100,3.625000,6.250000,1309.500000,3.253437,3.000000,1.500000,-0.625000,-0.250000
15,0.004900,7.875000,10.250000,1581.250000,0.121786,2.250000,0.375000,3.250000,2.000000
16,0.004200,-7.500000,0.000000,1846.000000,0.104844,0.000000,-3.000000,-2.000000,-2.500000
17,0.004400,-7.500000,0.000000,1846.000000,0.109389,0.000000,-3.000000,-2.000000,-2.500000
18,0.005700,-7.500000,0.000000,1846.000000,0.141450,0.000000,-3.000000,-2.000000,-2.500000
19,0.005900,-7.500000,0.000000,1846.000000,0.146412,0.000000,-3.000000,-2.000000,-2.500000
20,0.006500,-7.500000,0.000000,1846.000000,0.162441,0.000000,-3.000000,-2.000000,-2.500000
21,0.005500,4.750000,10.070584,1403.500000,0.138529,2.250000,0.375000,1.375000,0.750000
22,0.006400,11.000000,4.000000,1244.250000,0.159613,3.000000,1.500000,4.250000,2.250000
23,0.006500,-3.500000,4.618802,1539.500000,0.162264,1.500000,-0.750000,-2.250000,-2.000000
24,0.005600,-2.375000,10.250000,1672.000000,0.140189,0.750000,-1.875000,-0.250000,-1.000000
25,0.005600,13.000000,0.000000,1187.000000,0.140135,3.000000,1.500000,5.000000,3.500000
26,0.007500,0.750000,10.070584,1610.000000,0.188116,1.500000,-0.750000,0.750000,-0.750000
27,0.005900,-5.500000,4.000000,1727.750000,0.147394,0.750000,-1.875000,-2.125000,-2.250000
28,0.005900,-7.500000,0.000000,1846.000000,0.146671,0.000000,-3.000000,-2.000000,-2.500000
29,0.004600,-7.500000,0.000000,1846.000000,0.115949,0.000000,-3.000000,-2.000000,-2.500000
30,0.003700,-6.000000,3.000000,1846.000000,0.093672,0.000000,-3.000000,-2.000000,-1.000000
31,0.005800,13.000000,0.000000,1076.750000,0.145769,3.000000,1.500000,5.000000,3.500000
32,0.007100,-7.500000,0.000000,1846.000000,0.177763,0.000000,-3.000000,-2.000000,-2.500000
33,0.010600,8.750000,4.907477,956.250000,0.266028,3.000000,1.500000,3.250000,1.000000
34,0.003300,-2.375000,10.250000,1833.500000,0.083449,0.750000,-1.875000,-0.250000,-1.000000
35,0.006900,13.000000,0.000000,1325.500000,0.172706,3.000000,1.500000,5.000000,3.500000
36,0.003600,-7.500000,0.000000,1846.000000,0.089926,0.000000,-3.000000,-2.000000,-2.500000
37,0.006600,3.875000,8.469307,1525.750000,0.165132,2.250000,0.375000,1.750000,-0.500000
38,0.006700,7.875000,10.250000,1720.250000,0.166728,2.250000,0.375000,3.250000,2.000000
39,0.005500,-7.500000,0.000000,1846.000000,0.138440,0.000000,-3.000000,-2.000000,-2.500000
40,0.003400,-7.500000,0.000000,1846.000000,0.085036,0.000000,-3.000000,-2.000000,-2.500000
41,0.005600,-2.375000,10.250000,1749.000000,0.138822,0.750000,-1.875000,-0.250000,-1.000000
42,0.022800,-0.875000,9.672771,1105.000000,0.570743,1.500000,-0.750000,-0.875000,-0.750000
43,0.004600,2.750000,11.835680,1777.000000,0.115114,1.500000,-0.750000,1.500000,0.500000
44,0.003400,-7.500000,0.000000,1846.000000,0.085207,0.000000,-3.000000,-2.000000,-2.500000
45,0.006200,-2.375000,10.250000,1760.250000,0.155049,0.750000,-1.875000,-0.250000,-1.000000
46,0.005100,-7.500000,0.000000,1846.000000,0.128713,0.000000,-3.000000,-2.000000,-2.500000
47,0.005600,13.000000,0.000000,1204.750000,0.140702,3.000000,1.500000,5.000000,3.500000
48,0.005000,7.875000,10.250000,1461.250000,0.125023,2.250000,0.375000,3.250000,2.000000
49,0.005100,-7.500000,0.000000,1846.000000,0.127187,0.000000,-3.000000,-2.000000,-2.500000
50,0.004300,-7.500000,0.000000,1846.000000,0.107273,0.000000,-3.000000,-2.000000,-2.500000
51,0.005600,2.750000,11.835680,1628.000000,0.140713,1.500000,-0.750000,1.500000,0.500000
52,0.006200,2.750000,11.835680,1696.500000,0.155484,1.500000,-0.750000,1.500000,0.500000
53,0.005200,-7.500000,0.000000,1846.000000,0.130052,0.000000,-3.000000,-2.000000,-2.500000
54,0.005700,-7.500000,0.000000,1846.000000,0.143681,0.000000,-3.000000,-2.000000,-2.500000
55,0.005900,-1.500000,4.000000,1718.250000,0.147326,2.250000,0.375000,-2.375000,-1.750000
