notebook,cell_1based,step,training_loss,evidence
Qwen3_(4B)_SFFT_code_0811.ipynb,20,5,0.945600,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,10,1.287100,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,15,1.141600,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,20,0.768300,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,25,0.571900,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,30,0.478200,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,35,0.407700,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,40,0.375700,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,45,0.371300,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,50,0.378100,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,55,0.341400,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,60,0.388100,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,65,0.347000,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,70,0.303500,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,75,0.310800,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,80,0.368500,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,85,0.294000,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,90,0.311600,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,95,0.308500,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,100,0.293900,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,105,0.293700,saved_notebook_output_not_new_run
Qwen3_(4B)_SFFT_code_0811.ipynb,20,110,0.327000,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,5,0.985000,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,10,1.305100,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,15,1.116900,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,20,0.759300,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,25,0.575200,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,30,0.506300,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,35,0.437300,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,40,0.403800,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,45,0.391900,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,50,0.404200,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,55,0.368900,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,60,0.406400,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,65,0.373600,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,70,0.329900,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,75,0.335300,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,80,0.381900,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,85,0.321200,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,90,0.336400,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,95,0.329500,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,100,0.319600,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,105,0.331800,saved_notebook_output_not_new_run
notebook4d41ab3228 _train and reference.ipynb,23,110,0.349400,saved_notebook_output_not_new_run
